id,translate,translate_description,source
1601,фасад,передняя сторона здания,AI
1602,обратная связь,сообщение о восприятии или оценке для улучшения,AI
1603,праздничный день,особый день памяти о событии или человеке,AI
1604,враг,лицо или группа с резко негативным отношением,AI
1605,даль,большая пространственная дистанция,AI
1606,телевизор,устройство для приема и воспроизведения телесигналов,AI
1607,завершение,процесс доведения до конца,AI
1608,праздник,устар. поэт.: праздник,AI
1609,фейерверк,показ с ракетами и взрывными эффектами,AI
1610,филиал,"магазин, принадлежащий одной фирме в сети",AI
1611,Финляндия,государство в Северной Европе,AI
1612,конек,самый высокий край на наклонной крыше,AI
1613,рыба,"животное, живущее в воде и дышащее жабрами",AI
1614,флаг,флаг на фале как символ государства или почести,AI
1615,бутылка,сосуд для хранения и транспортировки жидкостей или газов,AI
1616,Фленсбург,город в Шлезвиг‑Гольштейне,AI
1617,Флорида,штат США,AI
1618,фокс,лиса (англ.),AI
1619,француз,гражданин Франции,AI
1620,разрешение,разрешение на использование чего‑либо,AI
1621,лишение свободы,наказание в виде заключения на определенный срок,AI
1622,утро пятницы,утро пятницы,AI
1623,вторая половина пятницы,послеобеденное время пятницы,AI
1624,досуг,свободное время,AI
1625,кладбище,"место захоронения, часто при церкви",AI
1626,фрустрация,чувство разочарования при повторяющихся неудачах,AI
1627,лиса,представитель группы низконогих видов семейства псовых,AI
1628,фундамент,основание здания или машины,AI
1629,слияние,слияние объектов,AI
1630,гала,торжественная одежда или придворный наряд,AI
1631,галерея,"проход вдоль стены, открытый с одной стороны",AI
1632,гараж,помещение для хранения автомобилей,AI
1633,употребление,"использование, применение",AI
1634,мысль,процесс мышления,AI
1635,память,почтение и память о событии или умершем человеке,AI
1636,тротуар,полоса для пешеходов рядом с проезжей частью,AI
1637,Гельзенкирхен,город в Северном Рейне‑Вестфалии,AI
1638,ген,"участок ДНК, кодирующий РНК с определенной последовательностью",AI
1639,генерал,офицерское звание,AI
1640,наслаждение,"употребление еды, напитков или курения",AI
1641,Гера,город в Тюрингии,AI
1642,суд,высшая инстанция для решения правовых споров,AI
1643,пол,свойство живых существ быть мужским или женским,AI
1644,сестры,совокупность сестер,AI
1645,оформление,действие по формированию объекта,AI
1646,жест,"знак, передаваемый движениями рук, головы и тела",AI
1647,здравоохранение,"совокупность учреждений, лиц и процессов по сохранению здоровья",AI
1648,блеск,"сияние или отражение, особенно на гладких материалах",AI
1649,равновесие,состояние баланса прямой и обратной реакции,AI
1650,цена золота,цена золота на мировом рынке,AI
1651,богослужение,собрание верующих с молитвой и почитанием Бога,AI
1652,губернатор,"наместник, высший чиновник округа или колонии",AI
1653,могила,место захоронения; последняя обитель,AI
1654,ужас,чувство страха и ужаса перед угрозой,AI
1655,гимназия,средняя школа с окончанием Abitur/матурой,AI
1656,Гаага,место расположения правительства Нидерландов,AI
1657,лишение свободы,вид наказания в виде тюремного заключения,AI
1658,крюк,крючковидное приспособление для подвешивания,AI
1659,полуостров,"участок суши, окруженный водой с трех сторон",AI
1660,остановка,место плановой остановки транспорта,AI
1661,действие,"человеческое действие, осознанный поступок",AI
1662,необходимость действий,потребность действовать,AI
1663,ганзейский город,"город, входивший в союз Ганзы",AI
1664,аппаратное обеспечение,физические компоненты компьютера,AI
1665,дуновение,слабое дыхание,AI
1666,главная роль,самая значимая роль в фильме или пьесе,AI
1667,годовое собрание,ежегодная встреча акционеров с отчетом о развитии,AI
1668,Гейдельберг,город в Баден‑Вюртемберге,AI
1669,Сочельник,"24 декабря, канун Рождества",AI
1670,родная страна,"страна, где человек родился или вырос",AI
1671,родной город,"город, где человек чувствует себя дома",AI
1672,отопление,установка или устройство для обогрева,AI
1673,историк,"ученый, изучающий историю",AI
1674,хит,очень успешный продукт,AI
1675,хобби,занятие по интересу,AI
1676,паводок,"вода, вышедшая из берегов ручьев или рек",AI
1677,холдинг,"компания, владеющая долями в дочерних предприятиях",AI
1678,Голливуд,район Лос-Анджелеса,AI
1679,Гольштейн,регион на севере Германии,AI
1680,валторна,духовой инструмент из одной или двух спиральных труб,AI
1681,гороскоп,схематическое изображение положения планет в определенный момент,AI
1682,смерч,небольшой воздушный вихрь в атмосфере,AI
1683,голод,желание поесть,AI
1684,имидж,"внутренний образ объекта, влияющий на его репутацию",AI
1685,недвижимость,неподвижное имущество,AI
1686,импорту,дательный падеж единственного числа слова «импорт»,AI
1687,владелец,"человек, который владеет определенной вещью",AI
1688,внутреннее пространство,"пространство, ограниченное стенами и потолком",AI
1689,инсайдер,человек с внутренней информацией в области,AI
1690,вдохновение,озаряющая идея,AI
1691,учреждение,организация или орган,AI
1692,постановка,художественное оформление спектакля,AI
1693,вторжение,вход в чужую территорию враждебных сил,AI
1694,инвестиция,вложение капитала для получения прибыли,AI
1695,инвестиция,вложение капитала,AI
1696,Ирландия,островное государство в Европе,AI
1697,куртка,"предмет одежды для мужчин и женщин, закрывающий верхнюю часть тела",AI
1698,охота,"выслеживание, преследование, поимка и добыча дичи",AI
1699,годовщина,"день, когда событие повторяется через год",AI
1700,год рождения,"люди, родившиеся в определенном году",AI
