id,translate,translate_description,source
1,evening,"time of day after afternoon, from sunset until full darkness",AI
2,objection,"a noun from ""aber""; an objection, rebuttal, contradiction; used in the phrase ""ifs and buts""",AI
3,agreement,agreement between two or more parties,AI
4,farewell,act of parting,AI
5,closure,closure or insulation of an object,AI
6,distance,spatial or temporal gap,AI
7,vote,vote,AI
8,share,share certificate in a stock corporation's capital,AI
9,action,undertaking to achieve something,AI
10,alcohol,common term for ethanol,AI
11,universe,universe,AI
12,everyday life,"routine, repeating rhythm of life",AI
13,office,official position with authority and responsibility,AI
14,term of office,period during which someone holds office,AI
15,analysis,systematic investigation and evaluation of components and relations,AI
16,provider,person or company that offers a paid product or service,AI
17,beginning,beginning or starting point of something,AI
18,inquiry,question expecting an answer,AI
19,offer,proposal or offer,AI
20,attacker,person who attacks,AI
21,attack,action against an opponent or enemy,AI
22,fear,feeling of existential fear or anxiety in a threat,AI
23,indictment,request for criminal prosecution,AI
24,disposition,personal predisposition not influenced by upbringing,AI
25,occasion,reason or motive for an action,AI
26,investor,person who invests money,AI
27,approach,something placed onto something else; starting point,AI
28,connection,connection to a supply or line network,AI
29,opinion,way one understands something,AI
30,claim,legitimate demand or expectation,AI
31,rise,upward slope,AI
32,share,portion of a quantity due to someone,AI
33,application,written request,AI
34,answer,reply to a question,AI
35,resident,person living directly next to something,AI
36,number,a certain quantity or share of a total,AI
37,advertisement,short notice in media for announcement or advertising,AI
38,April,the fourth month of the Gregorian calendar,AI
39,work,"self-chosen, conscious, creative action",AI
40,employer,person or company that hires and pays workers or employees,AI
41,army,armed land force,AI
42,type,group from a whole characterized by specific features,AI
43,article,specific kind of goods,AI
44,task,something to be done; work assignment,AI
45,attention,focused perception of the environment,AI
46,rise,upward development,AI
47,upbeat,incomplete measure at the start of a piece,AI
48,assignment,oral or written instruction from one party to another,AI
49,appearance,stage configuration; a new appearance begins with a scene change,AI
50,eye,organ of sight,AI
51,Augsburg,city in Bavaria,AI
52,end,unfortunate end,AI
53,expansion,planned enlargement of something existing,AI
54,training,learning a profession,AI
55,engagement,in-depth critical engagement with something,AI
56,abroad,country or countries outside one's own state,AI
57,statement,declaration or assertion; something said reflecting one's opinion or knowledge,AI
58,appearance,the look someone presents to others,AI
59,view,a view or panoramic view from a point,AI
60,exhibition,event where interesting or new objects are shown to the public,AI
61,exchange,"exchange of objects, people, or ideas",AI
62,Austria,name for Austria,AI
63,selection,process of choosing items with desired features from a set,AI
64,motorway,grade-separated divided high-speed road with at least two lanes per direction,AI
65,driver,person who drives a car,AI
66,author,person who has written literary or scientific texts,AI
