id,translate,translate_description,source
101,picture,two-dimensional artistic representation,AI
102,formation,coming into being in the course of a process,AI
103,glance,short look; viewing with the eyes,AI
104,ground,surface of the earth,AI
105,Borussia,Latinized name of Prussia,AI
106,message,message from someone,AI
107,industry,professional or business sector,AI
108,breams,nominative plural of the noun Breme,AI
109,letter,written sealed message sent by post or messenger,AI
110,brother,male sibling,AI
111,book,bound written work,AI
112,federal chancellor,head of government of Germany,AI
113,Bundesliga,top league in a sport in Germany and Austria,AI
114,Federal Police,central police of a federal state,AI
115,Federal Council,government,AI
116,federal government,executive branch of a federal state,AI
117,Bundestag,parliament of Germany,AI
118,federal election,"election of Bundestag members, usually every four years",AI
119,Bundeswehr,armed forces of Germany and their administration,AI
120,bus,large vehicle for public transport,AI
121,chance,opportunity; prospect,AI
122,boss,person with authority over subordinates,AI
123,mulatto woman,female descendant of a white or indigenous person and a black person,AI
124,downtown,"city center, central business district",AI
125,roof,"top covering of a building, vehicle, or tent",AI
126,gratitude,feeling of obligation for a received benefit,AI
127,deal,purchase or sale of goods,AI
128,debate,argument following certain rules,AI
129,democracy,rule of the people through elections and votes,AI
130,mindset,attitude toward something,AI
131,design,design of a product in appearance and usability,AI
132,German,citizen of Germany,AI
133,Germany,state in Central Europe,AI
134,December,the twelfth and last month of the year,AI
135,service,employment relationship and official duties,AI
136,Tuesday,second weekday per ISO 8601,AI
137,discussion,conversation where arguments are presented,AI
138,dollar,currency unit in various states,AI
139,Thursday,fourth weekday per ISO 8601,AI
140,village,"small settlement, rural place",AI
141,Dresden,city in Saxony,AI
142,third,one of three equal parts,AI
143,duel,"two-person fight, usually with weapons",AI
144,plane,"flat, uncurved surface",AI
145,wife,married partner in a marriage,AI
146,impression,remaining memory or idea,AI
147,single scull,boat for one person,AI
148,influence,effect on something or someone,AI
149,agreement,connection into a unity,AI
150,establishment,act of founding or creating something,AI
151,one,natural number between zero and two,AI
152,operation,limited action to accomplish a task,AI
153,harmony,agreement of views,AI
154,end,end of a temporal process,AI
155,energy,capacity for action; inner processes and motivation,AI
156,engagement,"employment or commitment, especially of an artist",AI
157,decision,result of a choice between alternatives,AI
158,development,change over time,AI
159,earth,solid ground; land surface,AI
160,experience,knowledge gained through practice,AI
161,success,successful outcome,AI
162,result,what comes out of a process,AI
163,memory,ability to remember; sum of memories,AI
164,investigator,person conducting investigations,AI
165,something,something not further specified,AI
166,extreme,the extreme or the farthest deviation from the normal,AI
167,roadway,paved surface of a road,AI
168,driver,person who operates or drives a vehicle,AI
169,trip,movement from one place to another on the earth surface by a vehicle,AI
170,vehicle,object used for movement or transport,AI
171,family,smallest cell of society,AI
172,February,second month of the year with 28 days or 29 in leap years,AI
173,error,deviation from an optimal state or procedure or what is right,AI
174,field,arable area where plants are grown for a harvest,AI
175,window,glazed opening in a building that lets in light and allows ventilation,AI
176,festival,large celebration,AI
177,festival,usually multi day event where several artists perform with additional program,AI
178,fire,formation of flames during combustion with release of heat and light,AI
179,fire brigade,professional or volunteer team for firefighting emergencies and disaster relief,AI
180,film,thin layer of something,AI
181,final,end of a process or event,AI
182,financing,provision of capital to buy or produce something,AI
183,company,trade name under which a merchant does business and can sue or be sued,AI
184,airport,landing and takeoff place for airplanes,AI
185,focus,point where parallel rays meet after refraction or reflection,AI
186,consequence,result or effect of an action or event,AI
187,demand,urgent request or claim especially a financial claim,AI
188,form,outer visible shape or appearance,AI
189,researcher,person who studies phenomena scientifically,AI
190,research,search for solutions to scientific problems,AI
191,fort,small fortress,AI
192,question,utterance that demands an answer or clarification,AI
193,France,state in Western Europe,AI
194,woman,adult female human,AI
195,freedom,state of being free from constraints and obligations,AI
196,Friday,fifth weekday by ISO 8601 and sixth in other traditions,AI
197,Friday evening,evening of a Friday,AI
198,joy,positive feeling,AI
199,friend,very close person for whom one has friendly and comradely feelings,AI
200,female friend,very close female person for whom one has friendly feelings,AI
