id,translate,translate_description,source
4001,ставка,процентное отношение между двумя величинами,AI
4002,выдворение,удаление человека против его воли,AI
4003,реализация,превращение идеи или плана в факт,AI
4004,реальное училище,"школа, дающая среднее образование (Германия)",AI
4005,восстание,решительное сопротивление,AI
4006,отчет,объяснение действий и обстоятельств,AI
4007,счетная палата,независимый орган финансового контроля,AI
4008,правовое положение,совокупность действующих правовых норм,AI
4009,правый сдвиг,рост поддержки правых партий,AI
4010,верховенство права,принцип ограничения власти законом,AI
4011,Реклингхаузен,город в Северном Рейне-Вестфалии,AI
4012,восстановление,обновление или восстановление,AI
4013,глава правительства,"женщина, возглавляющая правительство",AI
4014,правящая партия,"партия, формирующая правительство",AI
4015,пресс-секретарь правительства,"лицо, представляющее позицию правительства",AI
4016,представитель правительства,"лицо, действующее от имени правительства",AI
4017,косуля,олень из семейства оленевых,AI
4018,паспорт,документ для въезда и выезда,AI
4019,отчисление,исключение из учебных заведений,AI
4020,скакун,быстрая лошадь,AI
4021,пенсионный возраст,возраст выхода на пенсию,AI
4022,пенсионная реформа,реформа пенсионной системы,AI
4023,пенсионная система,система пенсионных выплат,AI
4024,ведомство,"сфера ответственности, например финансы",AI
4025,раскаяние,сожаление о совершенном,AI
4026,Рейнланд,регион на западе Германии,AI
4027,колесо обозрения,аттракцион в форме колеса,AI
4028,Рита,женское имя,AI
4029,ритуал,совокупность установленных обрядов,AI
4030,романтизм,эпоха конца XVIII – середины XIX века,AI
4031,Ромео,мужское имя; литературный персонаж,AI
4032,Руанда,государство в Восточной Африке,AI
4033,Саар,река в Германии и Франции,AI
4034,сливки,"жирная часть молока, образующая верхний слой",AI
4035,старт сезона,начало сезона,AI
4036,финал сезона,последняя игра сезона,AI
4037,салон,гостинная или приемная большого дома,AI
4038,семя,орган размножения семенных растений,AI
4039,Сандер,фамилия,AI
4040,гроб,продолговатый ящик для тела,AI
4041,возмещение ущерба,компенсация за ущерб,AI
4042,переключатель,электрический элемент соединения/разрыва цепи,AI
4043,свет,слабое или яркое свечение,AI
4044,виночерпий,"слуга, разливающий напитки",AI
4045,ножницы,инструмент для резки,AI
4046,судоходство,"деятельность, связанная с суднами",AI
4047,белая лошадь,лошадь белой масти,AI
4048,битва,крупное сражение,AI
4049,поле боя,территория сражения,AI
4050,ударная установка,набор ударных инструментов,AI
4051,грязь,"земля, смешанная с водой",AI
4052,дворцовый парк,парк при замке,AI
4053,вратарь,вратарь (футбол),AI
4054,финальный свисток,"свисток, завершающий игру",AI
4055,точка,окончание,AI
4056,скорость,способность быстро двигаться,AI
4057,интерфейс,связь между устройствами или программами,AI
4058,школьный двор,площадка для отдыха на переменах,AI
4059,администрация школы,руководство школы,AI
4060,дорога в школу,путь ученика до школы,AI
4061,обломки,груда обломков,AI
4062,уязвимость,"место, где что-то уязвимо",AI
4063,беременная,"женщина, ожидающая ребенка",AI
4064,швейцарка,гражданка Швейцарии,AI
4065,порог,нижняя перекладина дверной коробки,AI
4066,меч,клинковое оружие,AI
4067,головокружение,чувство потери равновесия,AI
4068,канат,скрученные нити или проволоки,AI
4069,семестр,половина учебного года,AI
4070,финальная схватка,решающая борьба,AI
4071,советник по безопасности,эксперт по безопасности,AI
4072,план безопасности,план обеспечения безопасности,AI
4073,осмотр,проверка для принятия решения,AI
4074,печать,штамп для оттиска,AI
4075,победный гол,"гол, решивший исход",AI
4076,лыжник,"человек, катающийся на лыжах",AI
4077,общество,общество (англ.),AI
4078,носки,носки,AI
4079,специальная выставка,выставка с особой тематикой,AI
4080,солнечные очки,очки для защиты от солнца,AI
4081,солнечный свет,свет от Солнца,AI
4082,закат,заход солнца за горизонт,AI
4083,воскресное утро,утро воскресенья,AI
4084,аккуратность,тщательное и внимательное выполнение,AI
4085,промежуток,временной интервал,AI
4086,спаржа,растение с съедобными побегами,AI
4087,политика экономии,стратегия экономии средств,AI
4088,меню,перечень блюд в заведении,AI
4089,лига,класс соревнований,AI
4090,игровой опыт,опыт игры,AI
4091,манера игры,стиль игры,AI
4092,шпионаж,добыча секретной информации,AI
4093,группа лидеров,группа на вершине рейтинга,AI
4094,топ-политик,политик на высшей позиции,AI
4095,спорткар,легковой автомобиль спортивного типа,AI
4096,насмешка,злорадное высмеивание,AI
4097,взрывчатка,"вещество, быстро взрывающееся",AI
4098,подрыв,разрушение взрывом,AI
4099,спринтер,спортсмен на коротких дистанциях,AI
4100,голеностоп,сустав между стопой и голенью,AI
